0,0,1,0,0,0,6,0,0,0,1
0,68,0,0,2,0,4,0,2,0,0
0,3,0,0,2,0,4,0,2,0,0
0,71,0,0,0,0,8,0,0,0,0
29,0,0,0,2,0,4,0,2,0,0
29,68,0,0,2,0,4,0,2,0,0
29,3,0,0,2,0,4,0,2,0,0
29,71,0,0,2,0,4,0,2,0,0
46,0,0,1,0,3,0,3,0,1,0
46,68,0,0,0,4,0,4,0,0,0
46,3,0,1,0,3,0,3,0,1,0
46,71,0,0,0,4,0,4,0,0,0
51,0,0,1,0,3,0,3,0,1,0
51,68,0,1,0,3,0,3,0,1,0
51,3,0,0,0,4,0,4,0,0,0
51,71,0,0,0,4,0,4,0,0,0
209,0,0,1,0,3,0,3,0,1,0
209,68,0,1,0,3,0,3,0,1,0
209,3,0,0,0,4,0,4,0,0,0
209,71,0,0,0,4,0,4,0,0,0
204,0,0,1,0,3,0,3,0,1,0
204,68,0,0,0,4,0,4,0,0,0
204,3,0,1,0,3,0,3,0,1,0
204,71,0,0,0,4,0,4,0,0,0
255,0,0,0,2,0,4,0,2,0,0
255,68,0,0,2,0,4,0,2,0,0
255,3,0,0,2,0,4,0,2,0,0
255,71,0,0,2,0,4,0,2,0,0
226,0,0,0,4,0,0,0,4,0,0
226,68,0,0,2,0,4,0,2,0,0
226,3,0,0,2,0,4,0,2,0,0
226,71,0,0,0,0,8,0,0,0,0
