0,0,1,0,0,0,9,0,24,0,99,0,72,0,51,0,0,0,0,0,0
0,7,0,0,0,2,0,22,0,52,0,92,0,74,0,14,0,0,0,0,0
0,33288,0,0,0,2,0,22,0,52,0,92,0,74,0,14,0,0,0,0,0
0,33295,0,0,0,0,10,0,30,0,84,0,92,0,34,0,6,0,0,0,0
32781,0,0,0,0,4,0,16,0,56,0,96,0,68,0,16,0,0,0,0,0
32781,7,0,0,0,0,10,0,30,0,84,0,92,0,34,0,6,0,0,0,0
32781,33288,0,0,2,0,6,0,36,0,76,0,90,0,46,0,0,0,0,0,0
32781,33295,0,0,0,4,0,16,0,56,0,96,0,68,0,16,0,0,0,0,0
840,0,0,0,0,2,0,22,0,52,0,92,0,74,0,14,0,0,0,0,0
840,7,0,0,2,0,4,0,34,0,88,0,86,0,36,0,6,0,0,0,0
840,33288,0,0,2,0,6,0,36,0,76,0,90,0,46,0,0,0,0,0,0
840,33295,0,0,0,4,0,16,0,56,0,96,0,68,0,16,0,0,0,0,0
33605,0,0,0,0,0,12,0,32,0,72,0,96,0,44,0,0,0,0,0,0
33605,7,0,0,0,4,0,16,0,56,0,96,0,68,0,16,0,0,0,0,0
33605,33288,0,1,0,2,0,15,0,60,0,95,0,66,0,17,0,0,0,0,0
33605,33295,0,0,1,0,6,0,35,0,84,0,87,0,38,0,5,0,0,0,0
53760,0,1,0,0,0,9,0,24,0,99,0,72,0,51,0,0,0,0,0,0
53760,7,0,0,0,2,0,22,0,52,0,92,0,74,0,14,0,0,0,0,0
53760,33288,0,0,0,2,0,22,0,52,0,92,0,74,0,14,0,0,0,0,0
53760,33295,0,0,0,0,10,0,30,0,84,0,92,0,34,0,6,0,0,0,0
21005,0,0,0,0,4,0,16,0,56,0,96,0,68,0,16,0,0,0,0,0
21005,7,0,0,0,0,10,0,30,0,84,0,92,0,34,0,6,0,0,0,0
21005,33288,0,0,2,0,6,0,36,0,76,0,90,0,46,0,0,0,0,0,0
21005,33295,0,0,0,4,0,16,0,56,0,96,0,68,0,16,0,0,0,0,0
53576,0,0,0,0,2,0,22,0,52,0,92,0,74,0,14,0,0,0,0,0
53576,7,0,0,2,0,4,0,34,0,88,0,86,0,36,0,6,0,0,0,0
53576,33288,0,0,2,0,6,0,36,0,76,0,90,0,46,0,0,0,0,0,0
53576,33295,0,0,0,4,0,16,0,56,0,96,0,68,0,16,0,0,0,0,0
20805,0,0,0,0,0,12,0,32,0,72,0,96,0,44,0,0,0,0,0,0
20805,7,0,0,0,4,0,16,0,56,0,96,0,68,0,16,0,0,0,0,0
20805,33288,0,1,0,2,0,15,0,60,0,95,0,66,0,17,0,0,0,0,0
20805,33295,0,0,1,0,6,0,35,0,84,0,87,0,38,0,5,0,0,0,0
65555,0,0,0,0,3,0,12,0,67,0,96,0,57,0,20,0,1,0,0,0
65555,7,0,0,0,0,10,0,30,0,84,0,92,0,34,0,6,0,0,0,0
65555,33288,0,0,1,0,8,0,29,0,88,0,91,0,32,0,7,0,0,0,0
65555,33295,0,0,0,4,0,12,0,72,0,72,0,84,0,12,0,0,0,0,0
98334,0,0,0,1,0,6,0,35,0,84,0,87,0,38,0,5,0,0,0,0
98334,7,0,0,0,2,0,22,0,52,0,92,0,74,0,14,0,0,0,0,0
98334,33288,0,0,0,2,0,16,0,62,0,96,0,62,0,16,0,2,0,0,0
98334,33295,0,0,2,0,4,0,34,0,88,0,86,0,36,0,6,0,0,0,0
66395,0,0,0,1,0,6,0,35,0,84,0,87,0,38,0,5,0,0,0,0
66395,7,0,1,0,2,0,15,0,60,0,95,0,66,0,17,0,0,0,0,0
66395,33288,0,0,0,1,0,18,0,63,0,92,0,63,0,18,0,1,0,0,0
66395,33295,0,0,0,0,10,0,30,0,84,0,92,0,34,0,6,0,0,0,0
99158,0,0,0,0,1,0,20,0,57,0,96,0,67,0,12,0,3,0,0,0
99158,7,0,0,1,0,6,0,35,0,84,0,87,0,38,0,5,0,0,0,0
99158,33288,0,0,1,0,6,0,35,0,84,0,87,0,38,0,5,0,0,0,0
99158,33295,0,0,0,4,0,16,0,56,0,96,0,68,0,16,0,0,0,0,0
119315,0,0,0,0,3,0,12,0,67,0,96,0,57,0,20,0,1,0,0,0
119315,7,0,0,0,0,10,0,30,0,84,0,92,0,34,0,6,0,0,0,0
119315,33288,0,0,1,0,8,0,29,0,88,0,91,0,32,0,7,0,0,0,0
119315,33295,0,0,0,4,0,12,0,72,0,72,0,84,0,12,0,0,0,0,0
86558,0,0,0,1,0,6,0,35,0,84,0,87,0,38,0,5,0,0,0,0
86558,7,0,0,0,2,0,22,0,52,0,92,0,74,0,14,0,0,0,0,0
86558,33288,0,0,0,2,0,16,0,62,0,96,0,62,0,16,0,2,0,0,0
86558,33295,0,0,2,0,4,0,34,0,88,0,86,0,36,0,6,0,0,0,0
119131,0,0,0,1,0,6,0,35,0,84,0,87,0,38,0,5,0,0,0,0
119131,7,0,1,0,2,0,15,0,60,0,95,0,66,0,17,0,0,0,0,0
119131,33288,0,0,0,1,0,18,0,63,0,92,0,63,0,18,0,1,0,0,0
119131,33295,0,0,0,0,10,0,30,0,84,0,92,0,34,0,6,0,0,0,0
86358,0,0,0,0,1,0,20,0,57,0,96,0,67,0,12,0,3,0,0,0
86358,7,0,0,1,0,6,0,35,0,84,0,87,0,38,0,5,0,0,0,0
86358,33288,0,0,1,0,6,0,35,0,84,0,87,0,38,0,5,0,0,0,0
86358,33295,0,0,0,4,0,16,0,56,0,96,0,68,0,16,0,0,0,0,0
1232,0,0,0,0,2,0,16,0,62,0,96,0,62,0,16,0,2,0,0,0
1232,7,0,0,0,0,5,0,38,0,87,0,84,0,35,0,6,0,1,0,0
