0,0,1,0,0,0,14,0,32,0,17
0,1,0,0,2,0,10,0,38,0,14
0,2,0,0,2,0,10,0,38,0,14
0,3,0,0,0,0,12,0,40,0,12
0,4,0,0,2,0,10,0,38,0,14
0,5,0,0,0,0,12,0,40,0,12
0,6,0,0,0,4,0,24,0,36,0
0,7,0,0,0,0,0,32,0,32,0
0,8,0,0,2,0,10,0,38,0,14
0,9,0,0,0,4,0,24,0,36,0
0,10,0,0,0,0,12,0,40,0,12
0,11,0,0,0,0,0,32,0,32,0
0,12,0,0,0,0,12,0,40,0,12
0,13,0,0,0,0,0,32,0,32,0
0,14,0,0,0,0,0,32,0,32,0
0,15,0,0,0,0,4,0,56,0,4
1,0,0,1,0,3,4,15,16,13,12
1,1,0,0,1,2,5,12,19,18,7
1,2,0,0,0,4,2,16,20,12,10
1,3,0,0,0,0,6,16,20,16,6
1,4,0,0,0,4,2,16,20,12,10
1,5,0,0,0,0,6,16,20,16,6
1,6,0,0,0,0,10,8,20,24,2
1,7,0,0,0,0,2,16,28,16,2
1,8,0,1,0,3,4,15,16,13,12
1,9,0,0,1,2,5,12,19,18,7
1,10,0,0,0,4,2,16,20,12,10
1,11,0,0,0,0,6,16,20,16,6
1,12,0,0,0,4,2,16,20,12,10
1,13,0,0,0,0,6,16,20,16,6
1,14,0,0,0,0,10,8,20,24,2
1,15,0,0,0,0,2,16,28,16,2
2,0,0,1,0,3,4,15,16,13,12
2,1,0,0,0,4,2,16,20,12,10
2,2,0,0,1,2,5,12,19,18,7
2,3,0,0,0,0,6,16,20,16,6
2,4,0,1,0,3,4,15,16,13,12
2,5,0,0,0,4,2,16,20,12,10
2,6,0,0,1,2,5,12,19,18,7
2,7,0,0,0,0,6,16,20,16,6
2,8,0,0,0,4,2,16,20,12,10
2,9,0,0,0,0,10,8,20,24,2
2,10,0,0,0,0,6,16,20,16,6
2,11,0,0,0,0,2,16,28,16,2
2,12,0,0,0,4,2,16,20,12,10
2,13,0,0,0,0,10,8,20,24,2
2,14,0,0,0,0,6,16,20,16,6
2,15,0,0,0,0,2,16,28,16,2
3,0,0,0,2,0,6,16,14,16,10
3,1,0,0,0,2,6,12,20,18,6
3,2,0,0,0,2,6,12,20,18,6
3,3,0,0,0,0,4,16,24,16,4
3,4,0,0,2,0,6,16,14,16,10
3,5,0,0,0,2,6,12,20,18,6
